dates,prices,positions,is_trade,history_balance
2012-10-01,1774.4,46.0,0.0,98669.36999999991
2012-10-02,1778.0,46.0,0.0,98834.9699999999
2012-10-03,1779.15,46.0,0.0,98887.86999999991
2012-10-04,1790.55,46.0,0.0,99412.2699999999
2012-10-05,1780.98,46.0,0.0,98972.0499999999
2012-10-08,1774.9,46.0,0.0,98692.36999999991
2012-10-09,1764.15,46.0,0.0,98197.86999999991
2012-10-10,1762.55,46.0,0.0,98124.2699999999
2012-10-11,1768.8,46.0,0.0,98411.7699999999
2012-10-12,1754.25,46.0,0.0,97742.4699999999
2012-10-15,1736.1,-46.0,1.0,96907.56999999988
2012-10-16,1747.8,-46.0,0.0,96369.36999999986
2012-10-17,1750.3,-46.0,0.0,96254.36999999986
2012-10-18,1741.7,-46.0,0.0,96649.96999999987
2012-10-19,1720.9,-46.0,0.0,97606.76999999986
2012-10-22,1729.45,-46.0,0.0,97213.46999999987
2012-10-23,1708.7,-46.0,0.0,98167.96999999987
2012-10-24,1702.43,-46.0,0.0,98456.38999999987
2012-10-25,1711.8,-46.0,0.0,98025.36999999986
2012-10-26,1711.35,-46.0,0.0,98046.06999999988
2012-10-29,1709.85,-46.0,0.0,98115.06999999988
2012-10-30,1709.49,-46.0,0.0,98131.62999999987
2012-10-31,1720.55,-46.0,0.0,97622.86999999986
2012-11-01,1714.7,-46.0,0.0,97891.96999999987
2012-11-02,1677.85,-47.0,1.0,99587.06999999988
2012-11-05,1684.6,-47.0,0.0,99269.81999999988
2012-11-06,1715.95,-47.0,0.0,97796.36999999986
2012-11-07,1716.69,-47.0,0.0,97761.58999999987
2012-11-08,1730.99,-47.0,0.0,97089.48999999987
2012-11-09,1731.24,-47.0,0.0,97077.73999999987
2012-11-12,1728.35,46.0,1.0,97213.56999999988
2012-11-13,1725.5,46.0,0.0,97082.46999999988
2012-11-14,1726.45,46.0,0.0,97126.16999999988
2012-11-15,1715.8,46.0,0.0,96636.26999999989
2012-11-16,1713.7,46.0,0.0,96539.66999999988
2012-11-19,1731.94,46.0,0.0,97378.70999999989
2012-11-20,1728.65,46.0,0.0,97227.3699999999
2012-11-21,1729.11,46.0,0.0,97248.52999999988
2012-11-22,1729.55,46.0,0.0,97268.76999999989
2012-11-23,1753.0,46.0,0.0,98347.46999999988
2012-11-26,1749.1,46.0,0.0,98168.06999999988
2012-11-27,1742.05,46.0,0.0,97843.76999999989
2012-11-28,1719.69,46.0,0.0,96815.20999999989
2012-11-29,1725.4,46.0,0.0,97077.8699999999
2012-11-30,1714.8,46.0,0.0,96590.26999999989
2012-12-03,1715.25,46.0,0.0,96610.96999999988
2012-12-04,1697.35,-47.0,1.0,95787.56999999988
2012-12-05,1693.99,-47.0,0.0,95945.48999999987
2012-12-06,1699.14,-47.0,0.0,95703.43999999987
2012-12-07,1703.65,-47.0,0.0,95491.46999999987
2012-12-10,1710.25,-47.0,0.0,95181.26999999987
2012-12-11,1710.1,-47.0,0.0,95188.31999999988
2012-12-12,1711.95,-47.0,0.0,95101.36999999986
2012-12-13,1697.3,-47.0,0.0,95789.91999999988
2012-12-14,1695.47,-47.0,0.0,95875.92999999988
2012-12-17,1697.93,-47.0,0.0,95760.30999999987
2012-12-18,1670.15,-47.0,0.0,97065.96999999987
2012-12-19,1666.94,-47.0,0.0,97216.83999999987
2012-12-20,1647.75,-48.0,1.0,98118.76999999987
2012-12-21,1656.99,-48.0,0.0,97675.24999999987
2012-12-24,1657.48,-48.0,0.0,97651.72999999986
2012-12-25,1658.9,-48.0,0.0,97583.56999999986
2012-12-26,1660.14,-48.0,0.0,97524.04999999987
2012-12-27,1663.9,-48.0,0.0,97343.56999999986
2012-12-28,1655.4,-48.0,0.0,97751.56999999986
2012-12-31,1674.95,-48.0,0.0,96813.16999999987
2013-01-01,1675.15,-48.0,0.0,96803.56999999986
2013-01-02,1686.75,-48.0,0.0,96246.76999999987
2013-01-03,1663.35,-48.0,0.0,97369.96999999988
2013-01-04,1656.85,-48.0,0.0,97681.96999999988
2013-01-07,1647.25,-48.0,0.0,98142.76999999987
2013-01-08,1659.0,-48.0,0.0,97578.76999999987
2013-01-09,1657.9,-48.0,0.0,97631.56999999986
2013-01-10,1675.25,-48.0,0.0,96798.76999999987
2013-01-11,1663.05,-48.0,0.0,97384.36999999988
2013-01-14,1667.2,-48.0,0.0,97185.16999999987
2013-01-15,1678.9,-48.0,0.0,96623.56999999986
2013-01-16,1679.5,-48.0,0.0,96594.76999999987
2013-01-17,1687.64,-48.0,0.0,96204.04999999987
2013-01-18,1683.95,-48.0,0.0,96381.16999999987
2013-01-21,1690.05,-48.0,0.0,96088.36999999988
2013-01-22,1692.1,-48.0,0.0,95989.96999999988
2013-01-23,1685.75,-48.0,0.0,96294.76999999987
2013-01-24,1667.74,-48.0,0.0,97159.24999999987
2013-01-25,1658.69,-48.0,0.0,97593.64999999988
2013-01-28,1654.95,-48.0,0.0,97773.16999999987
2013-01-29,1663.85,-48.0,0.0,97345.96999999988
2013-01-30,1677.1,-48.0,0.0,96709.96999999988
2013-01-31,1663.6,-48.0,0.0,97357.96999999988
2013-02-01,1667.15,-48.0,0.0,97187.56999999986
2013-02-04,1674.4,-48.0,0.0,96839.56999999986
2013-02-05,1673.0,-48.0,0.0,96906.76999999987
2013-02-06,1677.49,-48.0,0.0,96691.24999999987
2013-02-07,1671.3,-48.0,0.0,96988.36999999988
2013-02-08,1667.5,-48.0,0.0,97170.76999999987
2013-02-11,1649.74,-48.0,0.0,98023.24999999987
2013-02-12,1650.8,-48.0,0.0,97972.36999999988
2013-02-13,1642.74,-48.0,0.0,98359.24999999987
2013-02-14,1634.85,-48.0,0.0,98737.96999999988
2013-02-15,1609.44,-48.0,0.0,99957.64999999988
2013-02-18,1610.05,-48.0,0.0,99928.36999999988
2013-02-19,1604.6,-48.0,0.0,100189.96999999988
2013-02-20,1562.9,-51.0,1.0,102191.56999999985
2013-02-21,1576.05,-51.0,0.0,101520.91999999985
2013-02-22,1580.7,-51.0,0.0,101283.76999999986
2013-02-25,1594.24,-51.0,0.0,100593.22999999985
2013-02-26,1613.49,-51.0,0.0,99611.47999999985
2013-02-27,1597.6,-51.0,0.0,100421.86999999986
2013-02-28,1580.14,-51.0,0.0,101312.32999999986
2013-03-01,1575.24,-51.0,0.0,101562.22999999985
2013-03-04,1573.95,-51.0,0.0,101628.01999999986
