0,1,2
2011-11-29,103002.68000000001,0.012
2011-11-15,102799.78000000003,0.012
2011-11-01,106463.73000000007,0.012
2011-10-18,97143.35000000003,0.012
2011-10-04,96891.71000000005,0.012
2011-09-20,103702.39000000003,0.012
2011-09-06,106028.95,0.012
2011-08-23,101718.22999999997,0.012
2011-08-09,101779.13,0.012
2011-07-26,96079.77999999997,0.012
2011-07-12,95725.83,0.012
2011-06-28,93950.62999999998,0.012
2011-06-14,96249.83000000002,0.012
2011-05-31,95086.19999999997,0.012
2011-05-17,94496.73999999993,0.012
2011-05-03,94746.81999999995,0.012
2017-04-13,100011.57000000015,0.013
2017-03-30,100404.11000000015,0.013
2017-03-16,101255.86000000016,0.013
2017-03-02,98999.95000000013,0.013
2017-02-16,102894.44000000013,0.013
2017-02-02,102704.94000000012,0.013
2017-01-19,100966.83000000012,0.013
2017-01-05,103214.6600000001,0.013
2016-12-22,98345.16000000012,0.013
2016-12-08,97691.73000000008,0.013
2016-11-24,100896.00000000007,0.013
2016-11-10,104794.1300000001,0.013
2016-10-27,105950.7200000001,0.013
2016-10-13,107971.59000000007,0.013
2016-09-29,107987.81000000004,0.013
2016-09-15,112649.34000000003,0.013
2016-09-01,113560.74000000003,0.013
2016-08-18,112164.45000000004,0.013
2016-08-04,113449.29000000005,0.013
2016-07-21,108752.17000000003,0.013
2016-07-07,109165.57000000005,0.013
2016-06-23,105620.2100000001,0.013
2016-06-09,104105.59000000007,0.013
2016-05-26,100165.40000000005,0.013
2016-05-12,101922.89000000006,0.013
2016-04-28,102667.28000000013,0.013
2016-04-14,99903.8600000001,0.013
2016-03-31,100393.45000000008,0.013
2016-03-17,103297.91000000013,0.013
2016-03-03,103265.80000000013,0.013
2016-02-18,98104.27000000009,0.013
2016-02-04,94925.78000000012,0.013
2016-01-21,92416.06000000011,0.013
2016-01-07,88637.93000000014,0.013
2015-12-24,87234.60000000018,0.013
2015-12-10,88727.40000000017,0.013
2015-11-26,88545.23000000019,0.013
2015-11-12,90002.0700000002,0.013
2015-10-29,95626.46000000014,0.013
2015-10-15,96128.47000000015,0.013
2015-10-01,93152.96000000017,0.013
2015-09-17,88455.77000000014,0.013
2015-09-03,82115.13000000015,0.013
2015-08-20,85287.6600000001,0.013
2015-08-06,78692.0400000001,0.013
2015-07-23,78640.30000000009,0.013
2015-07-09,82266.70000000007,0.013
2015-06-25,80626.6100000001,0.013
2015-06-11,85768.97000000012,0.013
2015-05-28,86557.0500000001,0.013
2015-05-14,89898.98000000004,0.013
2015-04-30,96415.50000000009,0.013
2015-04-16,93934.45000000001,0.013
2015-04-02,96931.97000000004,0.013
2015-03-19,93163.54000000001,0.013
2015-03-05,93720.42000000001,0.013
2015-02-19,93966.91999999998,0.013
2015-02-05,99518.90999999995,0.013
2015-01-22,100060.33,0.013
2015-01-08,98541.32999999999,0.013
2014-12-24,98087.93000000001,0.013
2014-12-10,102532.26999999999,0.013
2014-11-26,103659.68999999999,0.013
2014-11-12,105543.55999999997,0.013
2014-10-29,106259.62999999995,0.013
2014-10-15,109841.53,0.013
2014-10-01,106652.33999999998,0.013
2014-09-17,106767.25,0.013
2014-09-03,104412.27000000002,0.013
2014-08-20,103532.69000000003,0.013
2014-08-06,110258.42000000004,0.013
2014-07-23,109159.5300000001,0.013
2014-07-09,109631.38000000005,0.013
2014-06-25,109623.69000000008,0.013
2014-06-11,113968.5100000001,0.013
2014-05-28,116260.14000000009,0.013
2014-05-14,111110.26000000011,0.013
2014-04-30,112807.10000000002,0.013
2014-04-16,110429.20000000003,0.013
2014-04-02,110519.48000000003,0.013
2014-03-19,109369.10000000005,0.013
2014-03-05,113498.18000000001,0.013
2014-02-19,113948.76000000002,0.013
2014-02-05,110401.48,0.013
2014-01-22,112190.01000000001,0.013
2014-01-08,108952.44000000005,0.013
2013-12-25,104761.21000000005,0.013
2013-12-11,102889.02000000005,0.013
2013-11-27,101150.82000000004,0.013
2013-11-13,107922.61999999998,0.013
2013-10-30,115207.08,0.013
2013-10-16,111363.22000000006,0.013
2013-10-02,111372.16000000003,0.013
2013-09-18,116148.50000000007,0.013
2013-09-04,114423.5100000001,0.013
2013-08-21,115854.6600000001,0.013
2013-08-07,113012.56000000008,0.013
2013-07-24,111109.01000000013,0.013
2013-07-10,107672.68000000005,0.013
2013-06-26,100321.88000000015,0.013
2013-06-12,110887.23000000019,0.013
2013-05-29,112257.50000000017,0.013
2013-05-15,108406.50000000017,0.013
2013-05-01,114769.40000000014,0.013
2013-04-17,108744.0600000001,0.013
2013-04-03,117610.06000000008,0.013
2013-03-19,115435.58000000012,0.013
2013-03-05,113772.3500000001,0.013
2013-02-19,111151.99000000009,0.013
2013-02-05,117540.89000000006,0.013
2013-01-22,113780.02000000008,0.013
2013-01-08,114288.63,0.013
2012-12-25,111345.28000000003,0.013
2012-12-11,113562.86000000004,0.013
2012-11-27,116502.05,0.013
2012-11-13,118869.10000000003,0.013
2012-10-30,117190.44000000002,0.013
2012-10-16,115631.53000000004,0.013
2012-10-02,118767.30999999998,0.013
2012-09-18,117861.13,0.013
2012-09-04,111369.20999999995,0.013
2012-08-21,112158.40999999993,0.013
2012-08-07,108321.1299999999,0.013
2012-07-24,105462.03999999989,0.013
2012-07-10,99537.19999999988,0.013
2012-06-26,99187.9099999999,0.013
2012-06-12,107237.21999999987,0.013
2012-05-29,104232.76999999987,0.013
2012-05-15,107700.11999999986,0.013
2012-05-01,109129.94999999976,0.013
2012-04-17,101963.62999999982,0.013
2012-04-03,97660.24999999984,0.013
2012-03-20,98496.74999999983,0.013
2012-03-06,96170.2599999998,0.013
2012-02-21,102033.80999999985,0.013
2012-02-07,92343.48999999985,0.013
2012-01-24,93512.98999999987,0.013
2012-01-10,97195.48999999987,0.013
2011-12-27,90071.4999999999,0.013
2011-12-13,88090.2199999999,0.013
2011-11-29,97514.74999999988,0.013
2011-11-15,98085.1499999999,0.013
2011-11-01,101749.09999999995,0.013
2011-10-18,92428.71999999991,0.013
2011-10-04,92177.07999999993,0.013
2011-09-20,96965.51999999992,0.013
2011-09-06,101314.31999999988,0.013
2011-08-23,97003.59999999985,0.013
2011-08-09,97064.49999999988,0.013
2011-07-26,91365.14999999985,0.013
2011-07-12,93686.19999999988,0.013
2011-06-28,89235.99999999988,0.013
2011-06-14,93403.6499999999,0.013
2011-05-31,92240.01999999986,0.013
2011-05-17,89558.07999999984,0.013
2011-05-03,89741.70999999989,0.013
2017-04-13,100724.99000000014,0.014
2017-03-30,101117.53000000013,0.014
2017-03-16,101969.28000000014,0.014
2017-03-02,99733.69000000012,0.014
2017-02-16,103628.18000000012,0.014
2017-02-02,103470.18000000011,0.014
2017-01-19,101732.07000000011,0.014
2017-01-05,103961.70000000008,0.014
2016-12-22,99092.2000000001,0.014
2016-12-08,98468.66000000008,0.014
2016-11-24,101672.93000000007,0.014
2016-11-10,103555.20000000011,0.014
2016-10-27,104623.4600000001,0.014
2016-10-13,106052.28000000007,0.014
2016-09-29,105496.46,0.014
2016-09-15,110153.68,0.014
2016-09-01,111091.50000000001,0.014
2016-08-18,110386.14000000001,0.014
2016-08-04,111647.65000000004,0.014
2016-07-21,106564.43000000004,0.014
2016-07-07,107719.20000000006,0.014
2016-06-23,108286.39000000003,0.014
2016-06-09,106771.77,0.014
2016-05-26,102831.57999999999,0.014
2016-05-12,104589.06999999999,0.014
2016-04-28,105333.46000000006,0.014
2016-04-14,102570.04000000004,0.014
2016-03-31,103090.19000000002,0.014
2016-03-17,105994.65000000001,0.014
2016-03-03,105962.54000000001,0.014
2016-02-18,100801.00999999997,0.014
2016-02-04,97622.51999999999,0.014
2016-01-21,95112.79999999999,0.014
2016-01-07,94001.50000000003,0.014
2015-12-24,93062.24000000008,0.014
2015-12-10,93896.55000000008,0.014
2015-11-26,94380.38000000009,0.014
2015-11-12,95761.00000000007,0.014
2015-10-29,101435.09000000004,0.014
2015-10-15,101862.33000000007,0.014
